"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"2564","-80","-81","-79"
"2565","-73","-73","-73"
"2568","-71","-71","-71"
"2572","-49","-49","-49"
"2574","-53","-53","-53"
"2576","-63","-63","-63"
"2577","-91","-91","-91"
"2580","-84","-84","-84"
"2584","-70","-70","-70"
"2585","-79.5","-88","-71"
"2587","-78","-78","-78"
"2589","-50","-50","-50"
"2591","-48","-48","-48"
"2594","-65","-65","-65"
"2597","-86","-86","-86"
"2603","-66","-66","-66"
"2608","-54","-54","-54"
"2609","-85","-85","-85"
"2610","-53","-53","-53"
"2612","-64","-64","-64"
"2613","-75","-75","-75"
"2616","-47","-47","-47"
"2617","-51","-51","-51"
"2618","-64","-64","-64"
"2619","-62","-62","-62"
"2624","-78","-78","-78"
"2625","-58","-58","-58"
"2633","-81","-81","-81"
"2634","-64","-64","-64"
"2638","-65","-65","-65"
"2642","-50","-50","-50"
"2644","-66.5","-74","-59"
"2645","-59","-59","-59"
"2648","-60","-60","-60"
"2651","-66","-66","-66"
"2652","-77","-77","-77"
"2657","-58","-58","-58"
"2658","-63","-63","-63"
"2660","-63","-63","-63"
"2670","-54","-57","-51"
"2672","-62","-62","-62"
"2673","-93","-93","-93"
"2676","-55.5","-61","-50"
